hc,hs,ht,lg,ls,r1,r2,r3,r4,s,wg,ws,xt,Resonant_Freq_GHz,S21_dB
0.035,1.27,0.13,1.125,20,2.125,4.5,6.5,8.04,0,65,65,1.6375,5.2080001831055,-24.251529733519
0.035,1.27,0.13,1.125,20,2.125,4.5,6.5,8.04,0,65,65,1.6375,5.201000213623,-24.287242374202
0.035,1.27,0.13,1.125,20,2.5,3.375,5.375,8.04,0,65,65,1.6375,5.4390001296997,-35.390765181641
0.035,1.27,0.13,1.125,20,2.5,3.375,5.375,8.04,0,65,65,1.6375,5.5650000572205,-37.791411100019
0.035,1.27,0.13,1.125,20,2.5,3.375,5.375,8.04,0,65,65,1.6375,5.5859999656677,-35.074436327594
0.035,1.27,0.13,1.125,20,2.5,3.375,5.375,8.04,0,65,65,1.6375,5.6209998130798,-44.085770705185
0.035,1.27,0.13,1.125,20,2.5,3.375,5.75,8.04,0,65,65,1.6375,5.3550000190735,-52.124449289332
0.035,1.27,0.13,1.125,20,2.5,3.375,5.75,8.04,0,65,65,1.6375,5.4530000686646,-33.93380031579
0.035,1.27,0.13,1.125,20,2.5,3.375,5.75,8.04,0,65,65,1.6375,5.460000038147,-34.169232041192
0.035,1.27,0.13,1.125,20,2.5,3.375,5.75,8.04,0,65,65,1.6375,5.4879999160767,-39.40554290923
0.035,1.27,0.13,1.125,20,2.5,3.375,6.125,8.04,0,65,65,1.6375,5.2430000305176,-29.849856983327
0.035,1.27,0.13,1.125,20,2.5,3.375,6.125,8.04,0,65,65,1.6375,5.3200001716614,-28.880971271981
0.035,1.27,0.13,1.125,20,2.5,3.375,6.125,8.04,0,65,65,1.6375,5.3340001106262,-28.697525382764
0.035,1.27,0.13,1.125,20,2.5,3.375,6.125,8.04,0,65,65,1.6375,5.3410000801086,-28.882657431118
0.035,1.27,0.13,1.125,20,2.5,3.375,6.5,8.04,0,65,65,1.6375,5.1519999504089,-21.506210619084
0.035,1.27,0.13,1.125,20,2.5,3.375,6.5,8.04,0,65,65,1.6375,5.2080001831055,-19.460962254902
0.035,1.27,0.13,1.125,20,2.5,3.375,6.5,8.04,0,65,65,1.6375,5.1939997673035,-19.692024337709
0.035,1.27,0.13,1.125,20,2.5,3.375,6.5,8.04,0,65,65,1.6375,5.201000213623,-19.044211347183
0.035,1.27,0.13,1.125,20,2.5,3.75,5.375,8.04,0,65,65,1.6375,5.4320001602173,-39.546018678721
0.035,1.27,0.13,1.125,20,2.5,3.75,5.375,8.04,0,65,65,1.6375,5.5929999351501,-33.28901913068
0.035,1.27,0.13,1.125,20,2.5,3.75,5.375,8.04,0,65,65,1.6375,5.5999999046326,-18.831409350529
0.035,1.27,0.13,1.125,20,2.5,3.75,5.375,8.04,0,65,65,1.6375,5.6209998130798,-22.043487433206
0.035,1.27,0.13,1.125,20,2.5,3.75,5.75,8.04,0,65,65,1.6375,5.3689999580383,-44.506912394784
0.035,1.27,0.13,1.125,20,2.5,3.75,5.75,8.04,0,65,65,1.6375,5.4530000686646,-29.457100856524
0.035,1.27,0.13,1.125,20,2.5,3.75,5.75,8.04,0,65,65,1.6375,5.4879999160767,-22.161762191815
0.035,1.27,0.13,1.125,20,2.5,3.75,5.75,8.04,0,65,65,1.6375,5.5089998245239,-17.331598140831
